,Immoweb ID,Property type,property sub-type,Price,Eur/m2,Extra,Post code,Construction year,Building condition,Living area,Kitchen type,Bedrooms,Terrace surface,Energy class,Double glazing,url address,Swimming pool,Garden surface,Garden,Surface of the plot,Municipality,Region
11273,9688664,1,DUPLEX,295000,2341.2698412698414,,8210,0,3,126,10.0,2.0,8.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/zedelgem/8210/9688664?searchId=61feb4d267583,,,0.0,,zedelgem,West Flanders Province
11274,9618276,1,DUPLEX,305000,1906.25,,4360,2022,4,160,10.0,3.0,51.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/oreye/4360/9618276?searchId=61feb4d267583,0.0,,0.0,,oreye,Liège Province
11275,9596500,1,DUPLEX,319000,2658.3333333333335,,9420,0,4,120,10.0,2.0,9.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/erpe-mere/9420/9596500?searchId=61feb4d400acc,0.0,,0.0,,erpe-mere,East Flanders Province
11276,9616636,1,DUPLEX,329000,2056.25,,1800,1968,3,160,7.0,4.0,,3.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/peutie/1800/9616636?searchId=61feb4d400acc,,200.0,1.0,,peutie,Flemish Brabant Province
11277,9714938,1,DUPLEX,345000,4600.0,,1050,1900,3,75,4.0,2.0,,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/9714938?searchId=61feb4d400acc,0.0,,0.0,,ixelles,Brussels Capital Region
11278,9552493,1,DUPLEX,399000,2557.6923076923076,,1853,2012,3,156,10.0,3.0,7.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/strombeek-bever/1853/9552493?searchId=61feb4d400acc,,,0.0,,strombeek-bever,Flemish Brabant Province
11279,9653494,1,DUPLEX,465000,4078.9473684210525,,1200,1993,4,114,4.0,3.0,6.0,4.0,,https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-lambert/1200/9653494?searchId=61feb4d400acc,0.0,,0.0,,woluwe-saint-lambert,Brussels Capital Region
11280,9707237,1,DUPLEX,467500,3339.285714285714,,8434,2005,4,140,10.0,3.0,7.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/middelkerke/8434/9707237?searchId=61feb4d400acc,0.0,,0.0,,middelkerke,West Flanders Province
11281,9399420,1,DUPLEX,510000,3148.1481481481483,,1040,1996,4,162,10.0,3.0,,6.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/9399420?searchId=61feb4d400acc,0.0,,0.0,,etterbeek,Brussels Capital Region
11282,9336395,1,DUPLEX,525000,3804.3478260869565,,1410,2010,3,138,4.0,3.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/waterloo/1410/9336395?searchId=61feb4d400acc,0.0,,0.0,,waterloo,Walloon Brabant Province
11283,9280593,1,DUPLEX,648000,3834.319526627219,,1200,2006,4,169,10.0,3.0,18.0,6.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-lambert/1200/9280593?searchId=61feb4d400acc,0.0,,0.0,,woluwe-saint-lambert,Brussels Capital Region
11284,9740307,1,DUPLEX,349999,3271.0186915887853,,3221,2019,4,107,10.0,2.0,29.0,7.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/holsbeek/3221/9740307?searchId=61feb4d400acc,0.0,,0.0,,holsbeek,Flemish Brabant Province
11285,9732052,1,DUPLEX,370000,3425.925925925926,,9000,2007,4,108,4.0,3.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/gent/9000/9732052?searchId=61feb4d400acc,0.0,,0.0,,gent,East Flanders Province
11287,9626333,1,DUPLEX,795000,4968.75,,1040,1939,4,160,10.0,3.0,23.0,6.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/9626333?searchId=61feb4d400acc,0.0,,0.0,,etterbeek,Brussels Capital Region
11289,9675999,1,DUPLEX,249500,1782.142857142857,,8870,0,4,140,10.0,3.0,6.0,,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/izegem/8870/9675999?searchId=61feb4d400acc,0.0,,0.0,,izegem,West Flanders Province
11292,9421798,1,DUPLEX,345000,3194.4444444444443,,8370,0,3,108,10.0,2.0,12.0,,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/blankenberge/8370/9421798?searchId=61feb4d400acc,0.0,,0.0,,blankenberge,West Flanders Province
